,DREM-HGN,,,DREM,,
168411-57746-980-99975,1,1,1,0,0,0
168411-57746-980-99975,1,0,1,0,1,0
168411-57746-980-99975,1,1,1,0,0,1
175584-57746-891-99979,0,0,0,1,1,1
175584-57746-891-99979,1,1,1,0,0,0
175584-57746-891-99979,1,1,1,0,0,0
126583-25395-425-335853,0,0,0,1,1,1
126583-25395-425-335853,1,1,1,0,0,0
126583-25395-425-335853,1,1,1,0,0,0
145299-14208-766-391965,1,1,1,0,0,0
145299-14208-766-391965,1,0,0,1,1,1
145299-14208-766-391965,1,1,1,1,1,1
179424-17058-425-377599,1,1,1,0,0,0
179424-17058-425-377599,0,0,0,1,1,1
179424-17058-425-377599,1,0,1,0,1,1
101425-48046-706-245304,0,0,0,1,1,1
101425-48046-706-245304,1,1,1,1,0,1
101425-48046-706-245304,1,1,1,0,0,0
1901-46427-369-261798,0,1,1,1,0,1
1901-46427-369-261798,1,1,1,0,0,0
1901-46427-369-261798,1,1,1,0,0,0
161847-5499-578-95306,1,1,1,0,0,0
161847-5499-578-95306,0,1,1,1,1,1
161847-5499-578-95306,1,1,1,0,0,0
163857-32083-761-298504,1,1,1,0,0,0
163857-32083-761-298504,1,1,1,1,0,0
163857-32083-761-298504,0,1,1,1,1,1
124150-23208-831-390222,0,1,1,1,1,1
124150-23208-831-390222,0,1,1,1,0,1
124150-23208-831-390222,1,1,1,1,1,1
170757-23208-831-390216,0,1,1,1,0,1
170757-23208-831-390216,1,1,1,1,1,1
170757-23208-831-390216,1,1,1,1,0,0
145967-23208-831-390187,1,1,1,0,0,0
145967-23208-831-390187,0,1,1,1,0,0
145967-23208-831-390187,1,1,1,1,1,1
176436-23208-831-390176,1,1,1,1,0,1
176436-23208-831-390176,1,1,1,0,0,0
176436-23208-831-390176,0,1,1,1,1,1
139074-46229-737-385909,1,1,1,0,0,0
139074-46229-737-385909,0,0,0,1,1,1
139074-46229-737-385909,0,0,0,1,1,1
75976-58668-678-217786,0,1,1,1,0,1
75976-58668-678-217786,1,1,1,1,1,1
75976-58668-678-217786,0,1,1,1,0,1
7094-46229-737-385927,1,1,1,0,0,0
7094-46229-737-385927,0,0,0,1,1,1
7094-46229-737-385927,0,0,0,1,1,1
56288-47718-839-348015,0,1,1,1,0,0
56288-47718-839-348015,1,1,1,1,1,1
56288-47718-839-348015,0,1,1,1,1,1
139113-34102-896-198829,0,1,1,1,0,0
139113-34102-896-198829,1,1,1,1,1,1
139113-34102-896-198829,0,1,1,1,0,1
77790-32083-761-298505,1,1,1,0,0,0
77790-32083-761-298505,0,1,1,1,1,1
77790-32083-761-298505,0,1,1,1,1,1
151807-34102-656-198835,1,1,1,1,1,1
151807-34102-656-198835,0,1,1,1,1,1
151807-34102-656-198835,0,0,0,1,1,1
164545-51311-728-264750,1,1,1,0,0,0
164545-51311-728-264750,0,0,0,1,1,1
164545-51311-728-264750,1,1,1,1,0,0
191733-57746-980-99973,1,1,1,1,1,1
191733-57746-980-99973,1,1,1,0,0,0
191733-57746-980-99973,1,1,1,0,0,0
44898-32083-761-298516,0,1,1,1,1,1
44898-32083-761-298516,1,1,1,1,1,1
44898-32083-761-298516,1,1,1,0,0,0
9995-1963-354-257208,1,1,1,0,0,0
9995-1963-354-257208,1,1,1,0,0,0
9995-1963-354-257208,1,1,1,0,0,0
154347-12823-755-241609,1,1,1,0,0,0
154347-12823-755-241609,1,1,1,1,1,1
154347-12823-755-241609,1,1,1,0,0,0
97541-5399-295-396774,1,1,1,0,0,0
97541-5399-295-396774,0,0,0,1,1,1
97541-5399-295-396774,0,0,0,1,1,1
